Temperature, Average Energy, Scaled Heat Capacity (c), Error on c 
1.000000000000000000e+00 -4.992592592592592155e+03 2.521609016423831742e-02 1.729597609136295042e-03
1.100000000000000089e+00 -4.984860860860861067e+03 4.263558092295919449e-02 2.054946757977014690e-03
1.199999999999999956e+00 -4.971683683683683739e+03 6.754644757091649021e-02 3.343819686438742698e-03
1.300000000000000044e+00 -4.951195195195195083e+03 9.844849273816702606e-02 4.434897915379374875e-03
1.399999999999999911e+00 -4.919567567567567494e+03 1.377257235172293093e-01 6.116015025684634794e-03
1.500000000000000000e+00 -4.877965965965965552e+03 1.935295015625123904e-01 9.190490570131075107e-03
1.600000000000000089e+00 -4.819467467467467031e+03 2.692825157489821541e-01 1.177697142912148380e-02
1.700000000000000178e+00 -4.747819819819819713e+03 3.268131200498169964e-01 1.456861049854311224e-02
1.800000000000000044e+00 -4.648864864864865012e+03 4.492419279473000016e-01 2.039274722913507823e-02
1.899999999999999911e+00 -4.525957957957957660e+03 5.073512553256008806e-01 2.147111611262875197e-02
2.000000000000000000e+00 -4.364928928928929054e+03 7.249427381335288301e-01 3.238048804552721288e-02
2.100000000000000089e+00 -4.149493493493493588e+03 9.607600986662588882e-01 4.447922109988035333e-02
2.200000000000000178e+00 -3.852108108108107899e+03 1.515928186395016697e+00 6.727639250978750818e-02
2.299999999999999822e+00 -3.403835835835835951e+03 2.261392816413924756e+00 9.233101382750855124e-02
2.400000000000000355e+00 -3.005681681681681766e+03 1.079550020490961160e+00 4.820234556586267677e-02
2.500000000000000000e+00 -2.759723723723723651e+03 8.290589307866426116e-01 3.940711928373425571e-02
2.600000000000000089e+00 -2.576140140140139920e+03 7.157621752154746941e-01 3.234793871214044353e-02
2.700000000000000178e+00 -2.412664664664664542e+03 5.658064463729937099e-01 2.401682679665427186e-02
2.799999999999999822e+00 -2.268492492492492602e+03 5.014678808243802077e-01 2.181505090535196256e-02
2.900000000000000355e+00 -2.156996996996997041e+03 4.581067626956796812e-01 2.023999072890329473e-02
3.000000000000000000e+00 -2.043047047047047045e+03 4.001749655784135329e-01 1.821670301872177836e-02
