Temperature, Average Magnetisation, Scaled Susceptibility (X), Error on X
1.000000000000000000e+00 2.498108108108107899e+03 1.709038768498227908e-03 3.913529820907015767e-03
1.100000000000000089e+00 2.496082082082082252e+03 3.403137417151431109e-03 7.377827393774542483e-03
1.199999999999999956e+00 2.492578578578578799e+03 6.050577771632158035e-03 1.172427437723463396e-02
1.300000000000000044e+00 2.487079079079079293e+03 9.701009548857395318e-03 1.404173008502463543e-02
1.399999999999999911e+00 2.478334334334334471e+03 1.570151074855779399e-02 2.288493943924177834e-02
1.500000000000000000e+00 2.466294294294294104e+03 2.656669402134867811e-02 4.223367811319399950e-02
1.600000000000000089e+00 2.448744744744744821e+03 4.370518266013762726e-02 6.261634642756848390e-02
1.700000000000000178e+00 2.425821821821821686e+03 6.542360814562428462e-02 8.747127475837442045e-02
1.800000000000000044e+00 2.392094094094094089e+03 1.209394183417095286e-01 1.855186423082383074e-01
1.899999999999999911e+00 2.347017017017017224e+03 1.842058291366547307e-01 2.807846175125741639e-01
2.000000000000000000e+00 2.278550550550550724e+03 3.386532927321715958e-01 5.006479080648410518e-01
2.100000000000000089e+00 2.166718718718718719e+03 9.924987768644759623e-01 1.944725335452470505e+00
2.200000000000000178e+00 1.939317317317317247e+03 4.364149314844009808e+00 7.251889351075753609e+00
2.299999999999999822e+00 1.220248248248248274e+03 4.872550923696469738e+01 5.767373130234289391e+01
2.400000000000000355e+00 4.871191191191190910e+02 2.140062476223303278e+01 2.803538677967680215e+01
2.500000000000000000e+00 3.011271271271271530e+02 6.796163019796573224e+00 1.015973932313448813e+01
2.600000000000000089e+00 2.666966966966966766e+02 5.748101809363071801e+00 9.770532194408701798e+00
2.700000000000000178e+00 1.851611611611611750e+02 3.083343647803811649e+00 5.207190759979981820e+00
2.799999999999999822e+00 1.779419419419419341e+02 2.455815906282373007e+00 4.036177482576785103e+00
2.900000000000000355e+00 1.488148148148148096e+02 1.926855509404679312e+00 3.509479556196492211e+00
3.000000000000000000e+00 1.330490490490490458e+02 1.334945158037583957e+00 2.407795546347376803e+00
