Temperature, Average Energy, Scaled Heat Capacity (c), Error on c
1.000000000000000000e+00 -4.747215215215214812e+03 1.117632547462377307e-01 6.093368467164801683e-03
1.100000000000000089e+00 -4.724780780780780333e+03 7.942322189660436238e-02 3.450771145916150737e-03
1.199999999999999956e+00 -4.698462462462462099e+03 1.139646152659165718e-01 5.209908671325030362e-03
1.300000000000000044e+00 -4.661285285285285681e+03 1.162321359687956968e-01 5.181906431252113893e-03
1.399999999999999911e+00 -4.622542542542542833e+03 1.820575559114097353e-01 7.436331231860641815e-03
1.500000000000000000e+00 -4.567983983983984217e+03 2.172710922022011160e-01 9.561666040295593166e-03
1.600000000000000089e+00 -4.500672672672672888e+03 2.963006700394087978e-01 1.263630529639704451e-02
1.700000000000000178e+00 -4.417213213213212839e+03 3.616163686988836945e-01 1.706912007044007751e-02
1.800000000000000044e+00 -4.295471471471471887e+03 4.188891282562733909e-01 1.874512771699013078e-02
1.899999999999999911e+00 -4.180856856856857121e+03 5.803461667241236466e-01 2.565107853260896117e-02
2.000000000000000000e+00 -4.010866866866866985e+03 7.699136429723015818e-01 3.422075653794855177e-02
2.100000000000000089e+00 -3.803775775775775855e+03 1.057206483015784348e+00 5.084723856615579185e-02
2.200000000000000178e+00 -3.510482482482482283e+03 1.192654757521442344e+00 5.742990451827571785e-02
2.299999999999999822e+00 -3.221965965965966006e+03 1.069271225315511664e+00 4.770409705496448521e-02
2.400000000000000355e+00 -2.964892892892893087e+03 9.749629865657001293e-01 4.641909583993240884e-02
2.500000000000000000e+00 -2.745553553553553684e+03 7.984343309635960617e-01 3.490013014418150150e-02
2.600000000000000089e+00 -2.558130130130130055e+03 6.770592535187899275e-01 3.106130961881674313e-02
2.700000000000000178e+00 -2.390090090090090143e+03 5.655154134596540594e-01 2.549944761245364136e-02
2.799999999999999822e+00 -2.255883883883883755e+03 4.911459689552068464e-01 2.093247462244111901e-02
2.900000000000000355e+00 -2.139443443443443357e+03 4.528953474070767093e-01 2.117644134673616133e-02
3.000000000000000000e+00 -2.037097097097097048e+03 3.776240943869016431e-01 1.663327149438479854e-02
